# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
3.570000000000000284e+00 1.336767634211935563e-01 7.061042088805036254e-02 -4.233881356460619805e-02
3.580000000000000071e+00 1.366144450359885743e-01 5.974534089250964353e-02 -3.895255082583234940e-02
3.589999999999999858e+00 1.327639133512973912e-01 4.925016458438113975e-02 -3.550216446322644603e-02
3.600000000000000089e+00 1.224510748337229588e-01 3.910314512876501142e-02 -3.199118207513556439e-02
3.609999999999999876e+00 1.063729837140879875e-01 2.931517388392512052e-02 -2.842325031160283441e-02
3.620000000000000107e+00 8.555629853918821082e-02 1.993369973187539973e-02 -2.480213028241091619e-02
3.629999999999999893e+00 6.129805143231525227e-02 1.104371008996215230e-02 -2.113169894097194357e-02
3.640000000000000124e+00 3.509242347212680052e-02 2.765872116612232839e-03 -1.741593933570461175e-02
3.649999999999999911e+00 8.548002146206845966e-03 -4.747835323855522857e-03 -1.365892977477355281e-02
3.660000000000000142e+00 -1.669948496545600042e-02 -1.132045954307551831e-02 -9.864840538850021615e-03
3.669999999999999929e+00 -3.907374099891815916e-02 -1.675767192304929154e-02 -6.037927283384350932e-03
3.680000000000000160e+00 -5.713863556746077987e-02 -2.085579676676533808e-02 -2.182524242465987314e-03
3.689999999999999947e+00 -6.966834479364560073e-02 -2.340938368587251739e-02 1.696962747583183068e-03
3.700000000000000178e+00 -7.570279004909925835e-02 -2.421744440077435237e-02 5.596063386218023787e-03
3.709999999999999964e+00 -7.458516263394338042e-02 -2.308755130354802135e-02 9.510250189181869429e-03
3.720000000000000195e+00 -6.597940006050689865e-02 -1.983713686489771769e-02 1.343494588983347622e-02
3.729999999999999982e+00 -4.986668120736153370e-02 -1.429153267493426041e-02 1.736553095086289245e-02
3.740000000000000213e+00 -2.652126308008340844e-02 -6.278533324970875934e-03 2.129735115253733255e-02
3.750000000000000000e+00 3.532780910136082940e-03 4.380451187711579403e-03 2.522572524272213498e-02
3.760000000000000231e+00 3.958121328504609487e-02 1.788229752732947014e-02 2.914595263736882019e-02
3.770000000000000018e+00 8.079197453058979683e-02 3.445647915885016732e-02 3.305332113826028873e-02
3.780000000000000249e+00 1.262957324636940493e-01 5.438087192570544015e-02 3.694311465529472038e-02
3.790000000000000036e+00 1.752696313976183917e-01 7.799791790476090503e-02 4.081062091190603563e-02
3.800000000000000266e+00 2.270189946996673536e-01 1.057298442658514415e-01 4.465113911403525981e-02
3.810000000000000053e+00 2.810517956383039029e-01 1.380915399964627310e-01 4.845998756338022739e-02
3.820000000000000284e+00 3.371410698521037919e-01 1.756996817679855050e-01 5.223251119602800169e-02
3.830000000000000071e+00 3.953710786447310332e-01 2.192767764603935909e-01 5.596408902800933255e-02
3.839999999999999858e+00 4.561639104469173422e-01 2.696489525111880337e-01 5.965014301594916829e-02
3.850000000000000089e+00 5.202842795788521491e-01 3.277365807516934293e-01 6.328614907291912894e-02
3.859999999999999876e+00 5.888214876225378314e-01 3.945371281372797023e-01 6.686762991985997773e-02
3.870000000000000107e+00 6.631487866890680705e-01 4.711000305159980805e-01 7.039016553547788879e-02
3.879999999999999893e+00 7.448616554780087551e-01 5.584937950730848311e-01 7.384941258358050653e-02
3.890000000000000124e+00 8.356976984371283779e-01 6.577659880114918867e-01 7.724110360625796590e-02
3.899999999999999911e+00 9.374419398839038964e-01 7.698972050615855434e-01 8.056105335097095421e-02
3.910000000000000142e+00 1.051822150759510244e+00 8.957505374703214063e-01 8.380516487840637685e-02
3.919999999999999929e+00 1.180399468767009186e+00 1.036018410642701726e+00 8.696943543870828963e-02
3.930000000000000160e+00 1.324459919414024744e+00 1.191168964857936441e+00 9.004996210454460637e-02
3.939999999999999947e+00 1.484912497486377880e+00 1.361394348760702533e+00 9.304294715034812369e-02
3.950000000000000178e+00 1.662199223294059447e+00 1.546563392054986164e+00 9.594470316664578668e-02
3.959999999999999964e+00 1.856222059234512001e+00 1.746181104421447472e+00 9.875165790872784954e-02
3.970000000000000195e+00 2.066290788518445165e+00 1.959357309181075646e+00 1.014603588548746160e-01
